date,close,5. volume
2022-02-01,101.39,3269496.0
2022-02-02,101.99,3247059.0
2022-02-03,99.52,2843743.0
2022-02-04,100.21,2641222.0
2022-02-07,99.96,2652707.0
2022-02-08,100.89,1896665.0
2022-02-09,102.46,3593480.0
2022-02-10,100.76,2887729.0
2022-02-11,98.81,3651689.0
2022-02-14,98.47,3199331.0
2022-02-15,100.23,2033632.0
2022-02-16,100.29,1984517.0
2022-02-17,98.04,1803047.0
2022-02-18,97.28,2622411.0
2022-02-22,96.2,4621959.0
2022-02-23,94.39,5262526.0
2022-02-24,96.08,7146993.0
2022-02-25,98.21,3674756.0
2022-02-28,98.08,2989015.0
