date,close,5. volume
2022-02-01,62.3,5750750.0
2022-02-02,62.62,4692611.0
2022-02-03,61.78,5118935.0
2022-02-04,61.88,3915050.0
2022-02-07,61.97,3827316.0
2022-02-08,62.33,3663520.0
2022-02-09,63.35,3851133.0
2022-02-10,62.63,4272871.0
2022-02-11,61.77,4527255.0
2022-02-14,61.4,5785129.0
2022-02-15,62.52,3407469.0
2022-02-16,62.8,4709886.0
2022-02-17,61.93,4655571.0
2022-02-18,61.54,5669057.0
2022-02-22,60.81,6422465.0
2022-02-23,60.21,6576421.0
2022-02-24,59.44,10284264.0
2022-02-25,60.79,5349998.0
2022-02-28,60.01,6355708.0
