date,close,5. volume
2022-02-01,28.86,464995.0
2022-02-02,28.98,677683.0
2022-02-03,28.6,487600.0
2022-02-04,28.68,486185.0
2022-02-07,28.71,333539.0
2022-02-08,28.91,373031.0
2022-02-09,29.36,353619.0
2022-02-10,29.04,976187.0
2022-02-11,28.64,1203354.0
2022-02-14,28.46,685757.0
2022-02-15,28.94,553371.0
2022-02-16,29.05,646129.0
2022-02-17,28.63,511773.0
2022-02-18,28.47,689980.0
2022-02-22,28.1,710661.0
2022-02-23,27.85,516888.0
2022-02-24,27.41,1073415.0
2022-02-25,28.05,758483.0
2022-02-28,27.56,615042.0
