date,close,5. volume
2022-02-01,11.74,0.0
2022-02-02,11.81,0.0
2022-02-03,11.64,0.0
2022-02-04,11.67,0.0
2022-02-07,11.68,0.0
2022-02-08,11.74,0.0
2022-02-09,11.93,0.0
2022-02-10,11.8,0.0
2022-02-11,11.66,0.0
2022-02-14,11.59,0.0
2022-02-15,11.78,0.0
2022-02-16,11.81,0.0
2022-02-17,11.68,0.0
2022-02-18,11.59,0.0
2022-02-22,11.45,0.0
2022-02-23,11.34,0.0
2022-02-24,11.17,0.0
