date,close,5. adjusted close,6. volume,7. dividend amount
2001-06-29,113.0,38.8287,7571500.0,0.28
2001-07-31,110.8,38.0727,2383600.0,0.0
2001-08-31,104.4,35.8736,906100.0,0.0
2001-09-28,94.95,32.7389,1813800.0,0.315
2001-10-31,96.9,33.4112,6473300.0,0.0
2001-11-30,104.3,35.9627,2267800.0,0.0
2001-12-31,105.4,36.4775,1988400.0,0.393
2002-01-31,104.5,36.1661,3476100.0,0.0
2002-02-28,102.6,35.5085,2629400.0,0.0
2002-03-28,106.1,36.8248,1997500.0,0.3
2002-04-30,101.4,35.1935,2983800.0,0.0
2002-05-31,99.95,34.6903,1475400.0,0.0
2002-06-28,92.8,32.2987,2711800.0,0.26
2002-07-31,85.06,29.6048,5542900.0,0.0
2002-08-30,85.71,29.831,4210400.0,0.0
2002-09-30,76.75,26.8169,3815900.0,0.3
2002-10-31,82.5,28.826,6244200.0,0.0
2002-11-29,87.45,30.5556,3433200.0,0.0
2002-12-31,82.63,29.0067,5418600.0,0.392
2003-01-31,80.34,28.2028,3679100.0,0.0
2003-02-28,79.1,27.7675,4976600.0,0.0
2003-03-31,79.4,27.9781,8439500.0,0.3
2003-04-30,86.24,30.3883,5221000.0,0.0
2003-05-30,91.27,32.1607,3340200.0,0.0
2003-06-30,92.45,32.682,2765400.0,0.3
2003-07-31,94.6,33.442,2027600.0,0.0
2003-08-29,96.86,34.241,1920000.0,0.0
2003-09-30,95.5,33.8797,2665600.0,0.34
2003-10-31,101.28,35.9302,2151300.0,0.0
2003-11-28,102.8,36.4694,1886400.0,0.0
2003-12-31,106.46,37.9268,3133000.0,0.442
2004-01-30,109.24,38.9172,3455400.0,0.0
2004-02-27,110.77,39.4623,2217000.0,0.0
2004-03-31,109.28,39.0571,4214000.0,0.35
2004-04-30,106.85,38.1886,3393300.0,0.0
2004-05-28,108.4,38.7426,4553500.0,0.0
2004-06-30,110.22,39.53,3065700.0,0.38
2004-07-30,106.3,38.1241,3032000.0,0.0
2004-08-31,106.36,38.1456,3374300.0,0.0
2004-09-30,107.76,38.7878,4581700.0,0.387
2004-10-29,109.7,39.4861,4086200.0,0.0
2004-11-30,114.9,41.3578,5163300.0,0.0
2004-12-31,118.05,42.776,4859800.0,0.785
2005-01-31,115.1,41.7071,2771500.0,0.0
2005-02-28,117.5,42.5767,2128400.0,0.0
2005-03-31,114.86,41.7797,2422100.0,0.438
2005-04-29,112.33,40.8594,2641800.0,0.0
2005-05-31,116.69,42.4453,2602700.0,0.0
2005-06-30,117.17,42.767,2405500.0,0.403
2005-07-29,122.3,44.6395,2432200.0,0.0
2005-08-31,120.97,44.154,2568000.0,0.0
2005-09-30,121.35,44.5033,3344900.0,0.57
2005-10-31,118.5,43.4581,3458300.0,0.0
2005-11-30,123.97,45.4641,3936500.0,0.0
2005-12-30,123.33,45.4744,3808400.0,0.672
2006-01-31,127.3,46.9382,5427200.0,0.0
2006-02-28,127.58,47.0415,3092800.0,0.0
2006-03-31,129.67,48.0065,3116000.0,0.526
2006-04-28,130.91,48.4655,2847100.0,0.0
2006-05-31,126.69,46.9032,5993800.0,0.0
2006-06-30,126.31,46.9643,6970900.0,0.535
2006-07-31,126.16,46.9085,4336700.0,0.0
2006-08-31,129.06,47.9868,3048100.0,0.0
2006-09-29,131.47,49.0808,3165400.0,0.529
2006-10-31,136.21,50.8504,3229000.0,0.0
2006-11-30,139.25,51.9853,3045000.0,0.0
2006-12-29,140.21,52.6114,2791500.0,0.712
2007-01-31,142.82,53.5908,4952900.0,0.0
2007-02-28,140.5,52.7202,4357600.0,0.0
2007-03-30,141.47,53.3115,5478100.0,0.611
2007-04-30,147.156,55.4543,4283000.0,0.0
2007-05-31,152.64,57.5208,4444000.0,0.0
2007-06-29,149.38,56.5084,6036000.0,0.571
2007-07-31,144.1,54.5111,6362400.0,0.0
2007-08-31,146.22,55.313,14820600.0,0.0
2007-09-28,151.2,57.4414,9182800.0,0.642
2007-10-31,153.91,58.471,7342400.0,0.0
2007-11-30,146.95,55.8269,8398600.0,0.0
2007-12-31,145.15,55.4371,7935700.0,0.771
2008-01-31,136.2,52.0188,21526900.0,0.0
2008-02-29,132.8,50.7203,12173300.0,0.0
2008-03-31,131.0,50.2661,12276300.0,0.623
2008-04-30,137.4,52.7219,8252200.0,0.0
2008-05-30,140.17,53.7848,12241700.0,0.0
2008-06-30,64.09,49.4182,16969100.0,0.313
