date,close,5. volume
2022-02-01,228.54,4697648.0
2022-02-02,230.05,4048246.0
2022-02-03,224.58,4217696.0
2022-02-04,226.07,3585291.0
2022-02-07,225.5,2757317.0
2022-02-08,227.57,3075478.0
2022-02-09,231.27,3698680.0
2022-02-10,227.35,3511241.0
2022-02-11,222.94,4839824.0
2022-02-14,222.12,4402059.0
2022-02-15,226.07,4407540.0
2022-02-16,226.28,4812386.0
2022-02-17,221.14,5784633.0
2022-02-18,219.37,7007895.0
2022-02-22,216.85,7742331.0
2022-02-23,212.86,7684541.0
2022-02-24,216.59,10471037.0
2022-02-25,221.41,4615081.0
2022-02-28,221.17,4219328.0
