date,close
2010-02-26,10.09
2010-03-31,10.04
2010-04-30,10.12
2010-05-28,10.18
2010-06-30,10.32
2010-07-30,10.4
2010-08-31,10.51
2010-09-30,10.5
2010-10-29,10.51
2010-11-30,10.43
2010-12-31,10.29
2011-01-31,10.28
2011-02-28,10.28
2011-03-31,10.26
2011-04-29,10.37
2011-05-31,10.48
2011-06-30,10.42
2011-07-29,10.56
2011-08-31,10.69
2011-09-30,10.75
2011-10-31,10.73
2011-11-30,10.7
2011-12-30,10.8
2012-01-31,10.87
2012-02-29,10.85
2012-03-30,10.77
2012-04-30,10.87
2012-05-31,10.94
2012-06-29,10.93
2012-07-31,11.06
2012-08-31,11.05
2012-09-28,11.05
2012-10-31,11.05
2012-11-30,11.05
2012-12-31,11.0
2013-01-31,10.91
2013-02-28,10.94
2013-03-28,10.93
2013-04-30,11.03
2013-05-31,10.81
2013-06-28,10.62
2013-07-31,10.62
2013-08-30,10.55
2013-09-30,10.63
2013-10-31,10.7
2013-11-29,10.63
2013-12-31,10.54
2014-01-31,10.69
2014-02-28,10.72
2014-03-31,10.68
2014-04-30,10.75
2014-05-30,10.85
2014-06-30,10.84
2014-07-31,10.79
2014-08-29,10.89
2014-09-30,10.8
2014-10-31,10.88
2014-11-28,10.94
2014-12-31,10.92
2015-01-30,11.14
2015-02-27,11.0
2015-03-31,11.04
2015-04-30,10.98
2015-05-29,10.92
2015-06-30,10.78
2015-07-31,10.85
2015-08-31,10.8
2015-09-30,10.86
2015-10-30,10.85
2015-11-30,10.8
2015-12-31,10.72
2016-01-29,10.85
2016-02-29,10.9
2016-03-31,10.98
2016-04-29,11.0
2016-05-31,10.97
2016-06-30,11.16
2016-07-29,11.21
2016-08-31,11.16
2016-09-30,11.14
2016-10-31,11.03
2016-11-30,10.73
2016-12-30,10.73
2017-01-31,10.73
2017-02-28,10.78
2017-03-31,10.75
2017-04-28,10.81
2017-05-31,10.87
2017-06-30,10.84
2017-07-31,10.87
2017-08-31,10.94
2017-09-29,10.86
2017-10-31,10.84
2017-11-30,10.8
2017-12-29,10.83
2018-01-31,10.68
2018-02-28,10.55
2018-03-29,10.59
2018-04-30,10.48
2018-05-31,10.52
2018-06-29,10.5
2018-07-31,10.48
2018-08-31,10.52
2018-09-28,10.43
2018-10-31,10.33
2018-11-30,10.36
2018-12-31,10.53
2019-01-31,10.61
2019-02-28,10.58
2019-03-29,10.77
2019-04-30,10.73
2019-05-31,10.9
2019-06-28,11.01
2019-07-31,11.01
2019-08-30,11.27
2019-09-30,11.19
2019-10-31,11.19
2019-11-29,11.16
2019-12-31,11.11
2020-01-31,11.32
2020-02-28,11.49
2020-03-31,11.41
2020-04-30,11.57
2020-05-29,11.62
2020-06-30,11.67
2020-07-31,11.82
2020-08-31,11.69
2020-09-30,11.67
2020-10-30,11.59
2020-11-30,11.69
2020-12-31,11.6
2021-01-29,11.5
2021-02-26,11.31
2021-03-31,11.15
2021-04-30,11.22
2021-05-28,11.23
2021-06-30,11.3
2021-07-30,11.41
2021-08-31,11.37
2021-09-30,11.25
2021-10-29,11.23
2021-11-30,11.24
2021-12-31,11.16
2022-01-31,10.91
2022-02-15,10.67
