date,close,5. volume
2022-02-01,82.83,5013368.0
2022-02-02,82.95,7248851.0
2022-02-03,82.6,6156464.0
2022-02-04,82.09,7745950.0
2022-02-07,82.16,6252299.0
2022-02-08,81.89,6727053.0
2022-02-09,81.95,5861953.0
2022-02-10,81.2,8869683.0
2022-02-11,81.73,11101067.0
2022-02-14,81.27,6301594.0
2022-02-15,81.1,6731864.0
2022-02-16,81.21,7142394.0
2022-02-17,81.39,6833585.0
2022-02-18,81.53,4744360.0
2022-02-22,81.48,7056546.0
2022-02-23,81.07,7938950.0
2022-02-24,81.25,8883626.0
2022-02-25,81.32,5923229.0
2022-02-28,81.92,6494440.0
