date,close,5. volume
2022-02-01,55.7,448346.0
2022-02-02,56.18,514985.0
2022-02-03,54.85,387704.0
2022-02-04,55.16,596700.0
2022-02-07,54.97,490845.0
2022-02-08,55.47,425102.0
2022-02-09,56.3,457012.0
2022-02-10,55.32,1004300.0
2022-02-11,54.27,785890.0
2022-02-14,54.1,652246.0
2022-02-15,54.94,589795.0
2022-02-16,55.04,522060.0
2022-02-17,53.9,690666.0
2022-02-18,53.53,1189300.0
2022-02-22,52.96,1377647.0
2022-02-23,52.01,725826.0
2022-02-24,52.76,2230952.0
2022-02-25,53.98,840966.0
2022-02-28,53.87,974366.0
