date,close,adjusted close,dividend
2012-11-30,49.37,38.1505,0.0
2012-12-31,51.908,40.2474,0.1724
2013-01-31,52.74,40.8925,0.0
2013-02-28,52.07,40.3731,0.0
2013-03-28,52.3999,40.6288,0.0
2013-04-30,54.25,42.0633,0.0
2013-05-31,52.5866,40.7736,0.0
2013-06-28,49.85,39.3311,0.8752
2013-07-31,52.31,41.272,0.0
2013-08-30,51.21,40.4042,0.0
2013-09-30,55.1,43.4733,0.0
2013-10-31,56.89,44.8856,0.0
2013-11-29,57.29,45.2012,0.0
2013-12-31,57.65,45.7468,0.3216
2014-01-31,54.77,43.4614,0.0
2014-02-28,57.5656,45.6798,0.0
2014-03-31,57.8,45.8658,0.0
2014-04-30,58.58,46.4847,0.0
2014-05-30,59.68,47.3576,0.0
2014-06-30,59.64,48.095,0.9649
2014-07-31,58.6,47.2563,0.0
2014-08-29,59.33,47.845,0.0
2014-09-30,56.27,45.3774,0.0
2014-10-31,55.93,45.1032,0.0
2014-11-28,55.82,45.0145,0.0
2014-12-31,53.27,43.4536,0.6066
2015-01-30,53.05,43.2742,0.0
2015-02-27,56.1,45.7621,0.0
2015-03-31,55.4,45.1911,0.0
2015-04-30,57.86,47.1978,0.0
2015-05-29,57.55,46.9449,0.0
2015-06-30,55.11,45.602,0.8155
2015-07-31,54.79,45.3372,0.0
2015-08-31,50.82,42.0522,0.0
2015-09-30,48.84,40.4138,0.0
2015-10-30,51.87,42.921,0.0
2015-11-30,51.27,42.4245,0.0
2015-12-31,49.48,41.4233,0.5739
2016-01-29,46.7,39.096,0.0
2016-02-29,45.8,38.3425,0.0
2016-03-31,49.44,41.3898,0.0
2016-04-29,50.65,42.4028,0.0
2016-05-31,50.12,41.9591,0.0
2016-06-30,48.96,41.6103,0.7541
2016-07-29,50.99,43.3356,0.0
2016-08-31,51.29,43.5906,0.0
2016-09-30,52.22,44.381,0.0
2016-10-31,51.28,43.5821,0.0
2016-11-30,50.11,42.5877,0.0
2016-12-30,50.49,43.3779,0.5466
2017-01-31,52.56,45.1563,0.0
2017-02-28,53.32,45.8093,0.0
2017-03-31,54.75,47.0378,0.0
2017-04-28,56.04,48.1461,0.0
2017-05-31,57.62,49.5036,0.0
2017-06-30,57.36,49.9184,0.7388
2017-07-31,59.4,51.6937,0.0
2017-08-31,59.81,52.0505,0.0
2017-09-29,60.98,53.0687,0.0
2017-10-31,62.19,54.1218,0.0
2017-11-30,62.55,54.4351,0.0
2017-12-29,63.08,55.5843,0.7783
2018-01-31,66.6,58.686,0.0
2018-02-28,63.25,55.7341,0.0
2018-03-29,63.04,55.549,0.0
2018-04-30,63.32,55.7958,0.0
2018-05-31,62.33,54.9234,0.0
2018-06-29,60.13,53.7651,0.8912
2018-07-31,61.56,55.0437,0.0
2018-08-31,60.18,53.8098,0.0
2018-09-28,60.31,53.926,0.0
2018-10-31,55.28,49.4285,0.0
2018-11-30,55.94,50.0186,0.0
2018-12-31,52.53,47.5789,0.6855
2019-01-31,56.62,51.2834,0.0
2019-02-28,57.5,52.0805,0.0
2019-03-29,58.07,52.5967,0.0
2019-04-30,59.64,54.0188,0.0
2019-05-31,56.4,51.0841,0.0
2019-06-28,58.64,53.9902,0.9371
2019-07-31,57.6,53.0327,0.0
2019-08-30,56.28,51.8173,0.0
2019-09-30,57.76,53.18,0.0
2019-10-31,59.58,54.8557,0.0
2019-11-29,60.28,55.5002,0.0
2019-12-31,61.9,57.8978,0.9775
2020-01-31,59.93,56.0552,0.0
2020-02-28,55.74,52.1361,0.0
2020-03-31,47.01,43.9705,0.0
2020-04-30,50.35,47.0946,0.0
2020-05-29,52.8,49.3862,0.0
2020-06-30,54.52,51.4986,0.535
2020-07-31,56.82,53.6711,0.0
2020-08-31,59.37,56.0798,0.0
2020-09-30,58.34,55.1069,0.0
2020-10-30,57.1,53.9356,0.0
2020-11-30,64.21,60.6516,0.0
2020-12-31,67.19,64.1511,0.7066
2021-01-29,67.31,64.2657,0.0
2021-02-26,68.92,65.8029,0.0
2021-03-31,70.28,67.1014,0.0
2021-04-30,72.27,69.0014,0.0
2021-05-28,74.41,71.0446,0.0
2021-06-30,73.3,70.7831,0.8518
2021-07-30,72.44,69.9527,0.0
2021-08-31,73.55,71.0245,0.0
2021-09-30,71.0,68.5621,0.0
2021-10-29,73.07,70.561,0.0
2021-11-30,69.85,67.4516,0.0
2021-12-31,70.94,69.8437,1.359
2022-01-31,68.9,67.8352,0.0
2022-02-28,66.75,65.7184,0.0
2022-03-31,66.58,65.5511,0.0
2022-04-29,62.21,61.2486,0.0
2022-05-31,63.03,62.0559,0.0
2022-06-30,57.03,57.03,0.9481
2022-07-29,59.23,59.23,0.0
2022-08-31,56.5,56.5,0.0
2022-09-30,50.92,50.92,0.0
2022-10-31,52.85,52.85,0.0
2022-11-03,52.45,52.45,0.0
