date,close,5. volume
2022-02-01,28.97,1810546.0
2022-02-02,29.0,2371226.0
2022-02-03,28.91,1275340.0
2022-02-04,28.72,2031954.0
2022-02-07,28.74,3007805.0
2022-02-08,28.65,1527616.0
2022-02-09,28.68,2019316.0
2022-02-10,28.37,3664744.0
2022-02-11,28.57,1782359.0
2022-02-14,28.42,1113102.0
2022-02-15,28.36,1260786.0
2022-02-16,28.41,1622184.0
2022-02-17,28.46,2842847.0
2022-02-18,28.52,2273181.0
2022-02-22,28.47,1969819.0
2022-02-23,28.36,8232029.0
2022-02-24,28.42,4679328.0
2022-02-25,28.45,1631191.0
2022-02-28,28.66,1848278.0
