date,close,5. volume
2022-02-01,37.89,6152905.0
2022-02-02,38.19,5132346.0
2022-02-03,37.6,4706797.0
2022-02-04,37.66,4985980.0
2022-02-07,37.74,4249690.0
2022-02-08,37.93,4677001.0
2022-02-09,38.53,3581117.0
2022-02-10,38.07,5326907.0
2022-02-11,37.55,8407916.0
2022-02-14,37.33,7661273.0
2022-02-15,37.95,4576831.0
2022-02-16,38.11,5662442.0
2022-02-17,37.55,5001391.0
2022-02-18,37.36,7312211.0
2022-02-22,36.95,6577726.0
2022-02-23,36.64,9167390.0
2022-02-24,36.13,20312172.0
2022-02-25,37.06,10417820.0
2022-02-28,36.49,10127241.0
