date,close,5. volume
2022-02-01,111.6,10356014.0
2022-02-02,111.72,7967892.0
2022-02-03,111.27,10290431.0
2022-02-04,110.57,6967250.0
2022-02-07,110.67,6723367.0
2022-02-08,110.33,7986961.0
2022-02-09,110.4,9194441.0
2022-02-10,109.38,10761160.0
2022-02-11,110.1,13868360.0
2022-02-14,109.46,8843670.0
2022-02-15,109.28,5820180.0
2022-02-16,109.41,8115969.0
2022-02-17,109.64,10216991.0
2022-02-18,109.87,7111143.0
2022-02-22,109.75,7596817.0
2022-02-23,109.26,11732146.0
2022-02-24,109.46,12372112.0
2022-02-25,109.57,10089128.0
2022-02-28,110.36,16594568.0
