date,close,5. volume
2022-02-01,69.47,4875769.0
2022-02-02,69.87,3386298.0
2022-02-03,68.88,4131140.0
2022-02-04,69.0,3507275.0
2022-02-07,69.1,2642848.0
2022-02-08,69.47,4361763.0
2022-02-09,70.62,2878802.0
2022-02-10,69.83,5051636.0
2022-02-11,68.87,4292055.0
2022-02-14,68.39,4734346.0
2022-02-15,69.71,3043506.0
2022-02-16,69.96,3038256.0
2022-02-17,68.95,3121433.0
2022-02-18,68.53,3847648.0
2022-02-22,67.73,3938192.0
2022-02-23,67.08,3539520.0
2022-02-24,66.12,6951543.0
2022-02-25,67.73,3880745.0
2022-02-28,66.75,3760683.0
